AircraftID,FirstCreated,LastModified,ModeS,ModeSCountry,Country,Registration,CurrentRegDate,PreviousID,FirstRegDate,Status,DeRegDate,Manufacturer,ICAOTypeCode,Type,SerialNo,PopularName,GenericName,AircraftClass,Engines,OwnershipStatus,RegisteredOwners,MTOW,TotalHours,YearBuilt,CofACategory,CofAExpiry,UserNotes,Interested,UserTag,InfoURL,PictureURL1,PictureURL2,PictureURL3,UserBool1,UserBool2,UserBool3,UserBool4,UserBool5,UserString1,UserString2,UserString3,UserString4,UserString5,UserInt1,UserInt2,UserInt3,UserInt4,UserInt5,OperatorFlagCode
860397,"2023-12-10 23:50:06","2023-12-10 23:50:06",A4C5CE,"United States","United States",N40639,,,,,,Maule,M4,"Maule M-4 220C Strata Rocket",2156C,,,,,,Private,,,1972,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-M4
860322,"2023-12-10 22:53:52","2023-12-10 22:53:52",341096,Spain,Spain,EC-FIG,,,,,,"McDonnell Douglas",MD88,"McDonnell Douglas DC-9 88",53195,,,,,,Iberia,,,1991,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-MD88
860273,"2023-12-10 22:11:29","2023-12-10 22:11:29",ABB9DD,"United States","United States",N8549X,,,,,,Cessna,C172,"Cessna P172D Skyhawk Powermatic",P17257149,,,,,,Private,,,1962,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C172
860233,"2023-12-10 21:38:25","2023-12-10 21:38:25",A3CF44,"United States","United States",N3445U,,,,,,Cessna,C182,"Cessna 182F Skylane",18254845,,,,,,Private,,,1963,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C182
860196,"2023-12-10 21:04:11","2023-12-10 21:04:11",A233C1,"United States","United States",N241AL,,,,,,Boeing,B752,"Boeing 757 225PCF",22210,,,,,,"DHL Aviation ME",,,1984,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,DHX
860176,"2023-12-10 20:49:47","2023-12-10 20:49:47",A08CC7,"United States","United States",N13423,,,,,,Cessna,C172,"Cessna 172M Skyhawk",17262741,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C172
860118,"2023-12-10 20:00:54","2023-12-10 20:00:54",AA33D8,"United States","United States",N7568W,,,,,,Piper,P28A,"Piper PA-28 180 Cherokee B",28-1510,,,,,,Private,,,1964,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-P28A
859983,"2023-12-10 18:27:36","2023-12-10 18:27:36",A2FAF0,"United States","United States",N830TM,,,,,,"Raytheon Aircraft Company",H25B,"Raytheon Aircraft Company 125 800XP",258355,,,,,,"Travel Management Company",,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,TMC
859965,"2023-12-10 18:12:44","2023-12-10 18:12:44",A34579,"United States","United States",N31LG,,,,,,Cessna,C310,"Cessna 310L",310L-0126,,,,,,Private,,,,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-C310
859961,"2023-12-10 18:10:31","2023-12-10 18:10:31",43E87E,"Isle of Man","Isle of Man",M-EMLI,,,,,,Agusta,A109,"Agusta A.109 E Power",11123,,,,,,"Tycoon Aviation Ltd",,,2001,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-A109
859954,"2023-12-10 18:06:09","2023-12-10 18:06:09",AB0CAF,"United States","United States",N8107F,,,,,,"Hawker Beechcraft Corp",B350,"Hawker Beechcraft Corp MC-12W Liberty",FL-757,,,,,,"United States Army",,,,,,,0,,,,,,1,0,0,0,0,,,,,,0,0,0,0,0,
859933,"2023-12-10 17:45:20","2023-12-10 17:45:20",A8A94A,"United States","United States",N6571V,,,,,,Bellanca,BL17,"Bellanca Viking 300 17-30",30246,,,,,,Private,,,1969,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-BL17
859881,"2023-12-10 17:09:04","2023-12-10 17:09:04",407836,"United Kingdom","United Kingdom",G-UZLJ,,,,,,Airbus,A20N,"Airbus A320 251NSL",9171,,,,,,easyJet,,,2019,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,EZY
859825,"2023-12-10 16:25:46","2023-12-10 16:25:46",C00541,Canada,Canada,C-FBZS,,,,,,Bombardier,DH8C,"Bombardier DHC-8 311Q",467,,,,,,CemAir,,,1997,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,KEM
859795,"2023-12-10 16:07:40","2023-12-10 16:07:40",A980C2,"United States","United States",N711LD,,,,,,Piper,PAY1,"Piper PA-31T1 Cheyenne I",31T-8104040,,,,,,"Stonecrest Capital LLC",,,1981,,,,0,,,,,,0,0,0,0,0,,,,,,0,0,0,0,0,GEN-PAY1
